cep,ordem,esc_codigo,distancia_km,mesma_microarea
20051030,6,103805,0.521,true
20051030,7,103605,0.522,false
20051030,8,1025041,0.546,true
20051030,9,102602,0.690,true
20051030,10,103606,0.733,false
20051040,1,103601,0.130,true
20051040,2,103502,0.239,true
20051040,3,103607,0.301,true
20051040,4,102601,0.331,true
20051040,5,103806,0.405,true
20051040,6,103805,0.521,true
20051040,7,103605,0.522,false
20051040,8,1025041,0.546,true
20051040,9,102602,0.690,true
20051040,10,103606,0.733,false
20051070,1,103601,0.130,true
20051070,2,103502,0.239,true
20051070,3,103607,0.301,true
20051070,4,102601,0.331,true
20051070,5,103806,0.405,true
20051070,6,103805,0.521,true
20051070,7,103605,0.522,false
20051070,8,1025041,0.546,true
20051070,9,102602,0.690,true
20051070,10,103606,0.733,false
20060010,1,102002,0.000,true
20060010,2,102802,0.128,true
20060010,3,102001,0.233,true
20060010,4,102604,0.487,true
20060010,5,102505,0.488,true
20060010,6,102004,0.541,false
20060010,7,102606,0.862,true
20060010,8,102803,0.970,true
20060010,9,102007,0.980,true
20060010,10,102605,0.994,true
20060040,1,102002,0.000,true
20060040,2,102802,0.128,true
20060040,3,102001,0.233,true
20060040,4,102604,0.487,true
20060040,5,102505,0.488,true
20060040,6,102004,0.541,false
20060040,7,102606,0.862,true
20060040,8,102803,0.970,true
20060040,9,102007,0.980,true
20060040,10,102605,0.994,true
20060060,1,102002,0.000,true
20060060,2,102802,0.128,true
20060060,3,102001,0.233,true
20060060,4,102604,0.487,true
20060060,5,102505,0.488,true
20060060,6,102004,0.541,false
20060060,7,102606,0.862,true
20060060,8,102803,0.970,true
20060060,9,102007,0.980,true
20060060,10,102605,0.994,true
20060070,1,102002,0.000,true
20060070,2,102802,0.128,true
20060070,3,102001,0.233,true
20060070,4,102604,0.487,true
20060070,5,102505,0.488,true
20060070,6,102004,0.541,false
20060070,7,102606,0.862,true
20060070,8,102803,0.970,true
20060070,9,102007,0.980,true
20060070,10,102605,0.994,true
20060080,1,102002,0.000,true
20060080,2,102802,0.128,true
20060080,3,102001,0.233,true
20060080,4,102604,0.487,true
20060080,5,102505,0.488,true
20060080,6,102004,0.541,false
20060080,7,102606,0.862,true
20060080,8,102803,0.970,true
20060080,9,102007,0.980,true
20060080,10,102605,0.994,true
20060120,1,102002,0.000,true
20060120,2,102802,0.128,true
20060120,3,102001,0.233,true
20060120,4,102604,0.487,true
20060120,5,102505,0.488,true
20060120,6,102004,0.541,false
20060120,7,102606,0.862,true
20060120,8,102803,0.970,true
20060120,9,102007,0.980,true
20060120,10,102605,0.994,true
20061020,1,103601,0.130,true
20061020,2,103502,0.239,true
20061020,3,103607,0.301,true
20061020,4,102601,0.331,true
20061020,5,103806,0.405,true
20061020,6,103805,0.521,true
20061020,7,103605,0.522,false
20061020,8,1025041,0.546,true
20061020,9,102602,0.690,true
20061020,10,103606,0.733,false
20061030,1,103601,0.130,true
20061030,2,103502,0.239,true
20061030,3,103607,0.301,true
20061030,4,102601,0.331,true
20061030,5,103806,0.405,true
20061030,6,103805,0.521,true
20061030,7,103605,0.522,false
20061030,8,1025041,0.546,true
20061030,9,102602,0.690,true
20061030,10,103606,0.733,false
20061170,1,103601,0.130,true
20061170,2,103502,0.239,true
20061170,3,103607,0.301,true
20061170,4,102601,0.331,true
20061170,5,103806,0.405,true
20061170,6,103805,0.521,true
20061170,7,103605,0.522,false
20061170,8,1025041,0.546,true
20061170,9,102602,0.690,true
20061170,10,103606,0.733,false
20061300,1,103601,0.130,true
20061300,2,103502,0.239,true
20061300,3,103607,0.301,true
20061300,4,102601,0.331,true
20061300,5,103806,0.405,true
20061300,6,103805,0.521,true
20061300,7,103605,0.522,false
20061300,8,1025041,0.546,true
20061300,9,102602,0.690,true
20061300,10,103606,0.733,false
20070022,1,103601,0.130,true
20070022,2,103502,0.239,true
20070022,3,103607,0.301,true
